,Structure,Avg RMSD,Avg ligand RMSD,Ligand base distance
0,0.842_1ohp_Rosetta_1ohp_Rosetta_Relax_7787,1.6434306811290198,0.8221261750240035,3.5586865192159856
1,0.838_1ohp_Rosetta_1ohp_Rosetta_Relax_7172,1.7747187100111765,0.9533970748882258,3.650974381071324
2,0.825_1ohp_Rosetta_1ohp_Rosetta_Design_8289,1.6683991572125412,1.2139835096733786,3.6248916378304514
3,0.820_1ohp_Rosetta_1ohp_Rosetta_Design_7673,1.6204400374664778,0.6366763569462137,3.742988961487536
4,0.836_1ohp_Rosetta_1ohp_Rosetta_Design_8486,1.6462986618700888,0.902567828565014,3.557029088834427
5,0.843_1ohp_Rosetta_1ohp_Rosetta_Relax_8445,1.7008287733345733,1.0331331307065186,3.6055834819008936
6,0.840_1ohp_Rosetta_1ohp_Rosetta_Relax_7078,1.5810840196903961,0.9599161649097931,3.657951647049161
7,0.845_1ohp_Rosetta_1ohp_Rosetta_Relax_7369,1.6837440551612808,1.1863413320395702,3.5857496982130996
8,0.845_1ohp_Rosetta_1ohp_Rosetta_Design_10000,1.5080543348052242,1.0007140454618615,3.6087602125943916
9,0.815_1ohp_Rosetta_1ohp_Rosetta_Design_9686,1.6942896658430988,1.3724708556818068,3.5699453215123165
10,0.859_1ohp_Rosetta_1ohp_Rosetta_Relax_7750,1.7153326204703692,0.6255835465749995,3.6333360438249445
11,0.814_1ohp_Rosetta_1ohp_Rosetta_Design_7447,1.905395955501136,1.4207416963733783,3.6100672785971293
12,0.817_1ohp_Rosetta_1ohp_Rosetta_Design_8132,1.7223066999430565,0.9549020300404438,3.536280077980247
13,0.841_1ohp_Rosetta_1ohp_Rosetta_Design_8938,1.6222525381222526,0.7529756338777693,3.6310144609793307
14,0.824_1ohp_Rosetta_1ohp_Rosetta_Relax_6411,1.57549693156226,0.7236532638041653,3.5649781157737777
15,0.832_1ohp_Rosetta_1ohp_Rosetta_Relax_7839,1.723785812229481,1.0474988731464256,3.6750571484499504
16,0.819_1ohp_Rosetta_1ohp_Rosetta_Design_8165,1.7611272008213281,1.1374687632652907,3.604814272139977
17,0.832_1ohp_Rosetta_1ohp_Rosetta_Design_7189,1.7622484711156399,0.6700209273846875,3.6330241095600364
